,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Sedv[L],Season
7102,30227736756.339436,0.0,91170.34114242053,2278542.260448401,889113479.0978817,166989.50759513446,2766473477064.333,1908409.9425425665,2226879.280695064,29886.266935677468,3720231215.0118675,10193.314733328092,17573786078.09846,5348090322580.64,1109677419.3548386,84890322580.64516,2000-06-12,1664516129.032272,spring
7103,29427953870.312885,0.0,88171.38953958768,2117361.4086336615,797958154.5456089,204458.5381539414,2766475746234.495,1908411.6394747007,2235775.741264117,28903.18990638973,3719893658.4957905,10192.414287703747,17602988115.44992,5391652461799.661,1109677419.3548386,84890322580.64516,2000-06-13,1664516129.032272,spring
7104,28588591041.774353,0.0,93326.6091486547,2244411.251127118,837215387.9977204,3644.1011605969047,2766478352005.7295,1908435.5339567692,2242846.5121647897,30593.106467170575,3719549056.0281076,10191.489475330933,17632190152.801384,5436331578947.365,1109677419.3548386,84890322580.64516,2000-06-14,1664516129.032272,spring
7105,27698910145.168667,0.0,99991.68667152028,2257599.479082118,887557947.013451,34658.20017597951,2766480947331.0786,1908437.3315313275,2248043.4368391167,32777.96487067459,3719199259.377441,10190.545358981119,17661392190.152843,5481010696095.075,1109677419.3548386,84890322580.64516,2000-06-15,1664516129.032272,spring
7106,26881436662.472935,0.0,93039.0208285203,2410263.401615412,815239561.1222353,83302.80728762076,2766483649613.6436,1908439.1218998588,2253262.2593261143,30498.833031364375,3718844246.653003,10189.58701199299,17690594227.50425,5525689813242.784,1109677419.3548386,84890322580.64516,2000-06-16,1664516129.032272,spring
7107,26129095976.363472,0.0,86535.80434871439,2592276.1050533326,750028425.673756,193479.86499708876,2766486426839.056,1908440.9860521385,2258503.1249653045,28367.033794676598,3718483995.899716,10188.614374391791,17766519524.618023,5570368930390.494,1109677419.3548386,84890322580.64516,2000-06-17,1664516129.032272,spring
7108,25517462580.341953,0.0,70942.80423265105,2696921.7626284705,609389191.7230265,381774.65990215505,2766489120542.649,1908465.2313786417,2263766.18046449,23255.54075914285,3718118507.323244,10187.62738602662,17941731748.726677,5615048047538.203,1109677419.3548386,84890322580.64516,2000-06-18,1664516129.032272,spring
7109,24994504091.910877,0.0,60820.70444199556,2618799.0513498248,520420378.7513853,19868.6672185427,2766492099981.4736,1908467.0896345146,2269038.083366812,19937.446601520576,3717747749.703464,10186.626047460944,18000135823.429543,5659727164685.908,1109677419.3548386,84890322580.64516,2000-06-19,1664516129.032272,spring
7110,24369710242.262608,0.0,72747.03013453197,2753740.827172393,622154920.6024526,42064.75121715549,2766495201381.3374,1908469.1450053095,2274345.954312615,23846.97845960778,3717371687.283883,10185.610273160177,18029337860.781002,5704406281833.613,1109677419.3548386,84890322580.64516,2000-06-20,1664516129.032272,spring
7111,23638950701.438904,0.0,85522.272028495,2984382.8021685164,727985325.1728908,124644.87932583346,2766498460359.23,1908471.2845111287,2279676.463271008,28034.7909063595,3716990297.525158,10184.579965161325,18058539898.132412,5749085398981.322,1109677419.3548386,84890322580.64516,2000-06-21,1664516129.032272,summer
7112,22912786191.50807,0.0,85746.32623406577,3330824.0758208865,723068664.2689745,149232.08773139375,2766502046615.6846,1908473.5327224114,2285029.762387865,28108.237421002774,3716603557.760431,10183.535061712762,18642580645.16129,5483914838709.677,1109677419.3548386,84890322580.64516,2000-06-22,1664516129.032272,summer
7113,22282136873.156693,0.0,75106.91435884293,3576928.822638834,627239012.7803206,91516.3372198189,2766505938556.404,1908498.3365700694,2290406.005221877,24620.564792413938,3716211467.6162786,10182.47550071351,17671612903.225807,5751319354838.709,1109677419.3548386,84890322580.64516,2000-06-23,1664516129.032272,summer
7114,21681041499.053246,0.0,72011.64120958201,3393483.226107701,597832425.9698395,58523.45129205377,2766509676750.4014,1908501.0214632172,2288129.33090068,23605.91289555266,3715821657.90556,10181.401281140492,17366451612.903225,5698262903225.807,1109677419.3548386,84890322580.64516,2000-06-24,1664516129.032272,summer
7115,21129217424.450073,0.0,66426.6543365836,3125508.917203001,548789628.435096,24636.094791664294,2766513176766.4453,1908503.6002926945,2285871.706168395,21775.11566010147,3715434109.4663754,10180.333309330303,17227741935.48387,5639900806451.614,1109677419.3548386,84890322580.64516,2000-06-25,1664516129.032272,summer
7116,20695083111.883156,0.0,52391.08642030085,2632955.1546071805,431626215.9646333,72467.46590012278,2766516129541.753,1908506.0148127943,2283619.4736515703,17174.159646516026,3715048816.736004,10179.27153278459,17089032258.064514,5570927419354.839,1109677419.3548386,84890322580.64516,2000-06-26,1664516129.032272,summer
7117,20265512449.3814,0.0,51715.81146274931,2484579.5411571045,427244081.9178486,106283.14578634051,2766518897633.1816,1908530.3820512102,2281372.6156225903,16952.799855782792,3714665796.286496,10178.215936263026,16978064516.129032,5512565322580.646,1109677419.3548386,84890322580.64516,2000-06-27,1664516129.032272,summer
7118,19827386619.968082,0.0,51959.21215444422,2340877.548332577,435912130.5212331,75219.44409291737,2766521549639.2095,1908532.2916683403,2277847.6271359334,17032.588282075492,3714286303.784464,10177.166565168483,16922580645.16129,5443591935483.871,1109677419.3548386,84890322580.64516,2000-06-28,1664516129.032272,summer
7119,19364367819.32907,0.0,54036.203795655005,2482850.775008263,460594190.07385015,4204.006051886457,2766524411800.2886,1908534.1212018908,2274334.9905481376,17713.440474077594,3713910326.788258,10176.126859683463,16783870967.741934,5369312903225.807,1109677419.3548386,84890322580.64516,2000-06-29,1664516129.032272,summer
7120,18868782388.43959,0.0,56995.88577355846,2212595.3750141086,493454551.9833076,24720.583068687603,2766526980643.7593,1908536.0957146436,2270821.130060086,18683.64464933849,3713537866.657127,10175.096785721256,16756129032.258062,5295033870967.741,1109677419.3548386,84890322580.64516,2000-06-30,1664516129.032272,summer
7121,18456832176.75057,0.0,46614.23388068828,2384751.2429783703,409633533.3718043,21458.691880613336,2766529718011.9536,1908537.867877024,2267333.043583921,15280.467521604405,3713168897.405073,10174.076347005828,16676866359.447027,5313224654377.878,1109677419.3548386,84890322580.64516,2000-07-01,1664516129.032272,summer
7122,18092634555.295624,0.0,40347.90653383405,2524026.923498063,361904107.1469372,190164.7089593213,2766532422829.7847,1908562.0869077973,2266291.381539117,13226.322177321128,3712800995.0449696,10173.065472342667,16597603686.635935,5338994930875.573,1109677419.3548386,84890322580.64516,2000-07-02,1664516129.032272,summer
7123,17790267023.513073,0.0,32609.743613121977,2707913.53861971,299756391.0491691,64163.06162364673,2766535433957.138,1908563.9528963424,2265251.1301457635,10689.698975715515,3712434135.8101993,10172.057520671151,17707281105.990772,5173458801843.314,1109677419.3548386,84890322580.64516,2000-07-03,1664516129.032272,summer
7124,17393354080.281322,0.0,41606.084157495985,3045351.661946742,393967677.28887993,58479.634917552365,2766538790114.1704,1908566.0302004353,2264212.27337223,13638.76148425009,3712068318.5146008,10171.052426877259,16534193548.387096,5389019585253.459,1109677419.3548386,84890322580.64516,2000-07-04,1664516129.032272,summer
7125,16900411652.474274,0.0,50463.62849489562,2715286.9586492735,490543110.53126925,265506.0543747744,2766541611030.3945,1908568.3455321763,2263161.33983932,16542.325638393122,3711703555.4701056,10170.050187711237,16534193548.387096,5410242165898.616,1109677419.3548386,84890322580.64516,2000-07-05,1664516129.032272,summer
