,PGRNNe,Time
622,59.397686,1982-12-24
623,60.43575,1982-12-25
624,61.144463,1982-12-26
625,62.020393,1982-12-27
626,63.022537,1982-12-28
627,63.15723,1982-12-29
628,64.455124,1982-12-30
629,64.44237,1982-12-31
630,64.60882,1983-01-01
631,64.56082,1983-01-02
632,64.96778,1983-01-03
633,64.90828,1983-01-04
634,66.65761,1983-01-05
635,67.64224,1983-01-06
636,67.12861,1983-01-07
637,67.04326,1983-01-08
638,68.09147,1983-01-09
639,68.75966,1983-01-10
640,67.70188,1983-01-11
641,67.75307,1983-01-12
642,67.848366,1983-01-13
643,69.04412,1983-01-14
644,68.577065,1983-01-15
645,68.97775,1983-01-16
646,69.95216,1983-01-17
647,70.45618,1983-01-18
648,70.71757,1983-01-19
649,70.996155,1983-01-20
650,70.77972,1983-01-21
651,71.00996,1983-01-22
652,71.20868,1983-01-23
653,71.14219,1983-01-24
654,71.58466,1983-01-25
655,71.89495,1983-01-26
656,72.170074,1983-01-27
657,72.45402,1983-01-28
658,72.73338,1983-01-29
659,73.6619,1983-01-30
660,74.03439,1983-01-31
661,74.661835,1983-02-01
662,74.66142,1983-02-02
663,74.59766,1983-02-03
664,74.53387,1983-02-04
665,74.95397,1983-02-05
666,75.22055,1983-02-06
667,75.27554,1983-02-07
668,75.227455,1983-02-08
669,75.103714,1983-02-09
670,75.01836,1983-02-10
671,75.252975,1983-02-11
672,75.35702,1983-02-12
673,75.749176,1983-02-13
674,75.94602,1983-02-14
675,76.20744,1983-02-15
676,76.3694,1983-02-16
677,76.395935,1983-02-17
678,76.4501,1983-02-18
679,76.30559,1983-02-19
680,76.14053,1983-02-20
681,76.13305,1983-02-21
682,76.01689,1983-02-22
683,75.851555,1983-02-23
684,75.61967,1983-02-24
685,75.574646,1983-02-25
686,75.732506,1983-02-26
687,75.981804,1983-02-27
688,76.13879,1983-02-28
689,76.28503,1983-03-01
690,76.34682,1983-03-02
691,76.158165,1983-03-03
692,75.75005,1983-03-04
693,75.49812,1983-03-05
694,75.24905,1983-03-06
695,74.9784,1983-03-07
696,74.65361,1983-03-08
697,74.17948,1983-03-09
698,73.77565,1983-03-10
699,73.41941,1983-03-11
700,73.11907,1983-03-12
701,72.939865,1983-03-13
702,72.90445,1983-03-14
703,72.85621,1983-03-15
704,73.14116,1983-03-16
705,73.24225,1983-03-17
706,73.3843,1983-03-18
707,73.557236,1983-03-19
708,73.57844,1983-03-20
709,73.44302,1983-03-21
710,73.54474,1983-03-22
711,73.52193,1983-03-23
712,73.40419,1983-03-24
713,73.136055,1983-03-25
714,72.96564,1983-03-26
715,72.8355,1983-03-27
716,72.820305,1983-03-28
717,72.842865,1983-03-29
718,72.64672,1983-03-30
719,72.45474,1983-03-31
720,72.327805,1983-04-01
721,72.39533,1983-04-02
722,72.53098,1983-04-03
723,72.799385,1983-04-04
724,73.09324,1983-04-05
725,73.61766,1983-04-06
726,74.05879,1983-04-07
727,74.180374,1983-04-08
728,74.14346,1983-04-09
729,73.846275,1983-04-10
730,73.45158,1983-04-11
731,73.139656,1983-04-12
732,72.78373,1983-04-13
733,72.22006,1983-04-14
734,71.60363,1983-04-15
735,70.96125,1983-04-16
736,70.59167,1983-04-17
737,70.37823,1983-04-18
738,69.0015,1983-04-19
739,69.57857,1983-04-20
740,69.809555,1983-04-21
741,69.55278,1983-04-22
742,67.41235,1983-04-23
743,65.15706,1983-04-24
744,64.466705,1983-04-25
745,63.053406,1983-04-26
746,61.377285,1983-04-27
747,60.679264,1983-04-28
748,58.679474,1983-04-29
749,57.648335,1983-04-30
750,57.855053,1983-05-01
751,57.11682,1983-05-02
752,56.652847,1983-05-03
753,56.071064,1983-05-04
754,54.006382,1983-05-05
755,53.054676,1983-05-06
756,53.494576,1983-05-07
757,52.555645,1983-05-08
758,51.281303,1983-05-09
759,51.17505,1983-05-10
760,51.225227,1983-05-11
761,50.924515,1983-05-12
762,51.38443,1983-05-13
763,50.976894,1983-05-14
764,50.430824,1983-05-15
765,48.95188,1983-05-16
766,47.91711,1983-05-17
767,46.164383,1983-05-18
768,44.469875,1983-05-19
769,44.31458,1983-05-20
770,44.783867,1983-05-21
771,44.553078,1983-05-22
772,44.55353,1983-05-23
773,44.6669,1983-05-24
774,44.85651,1983-05-25
775,44.942043,1983-05-26
776,44.67124,1983-05-27
777,43.23926,1983-05-28
778,42.108276,1983-05-29
779,41.006737,1983-05-30
780,40.805405,1983-05-31
781,41.109154,1983-06-01
782,39.795204,1983-06-02
783,38.85723,1983-06-03
784,37.764355,1983-06-04
785,36.73948,1983-06-05
786,35.46836,1983-06-06
787,33.5441,1983-06-07
788,31.65682,1983-06-08
789,29.766098,1983-06-09
790,27.846882,1983-06-10
791,26.257927,1983-06-11
792,24.851028,1983-06-12
793,23.965212,1983-06-13
794,23.093603,1983-06-14
795,22.246218,1983-06-15
796,21.513912,1983-06-16
797,21.026089,1983-06-17
798,21.754416,1983-06-18
799,21.610086,1983-06-19
800,21.107382,1983-06-20
801,20.923,1983-06-21
802,20.499346,1983-06-22
803,19.882072,1983-06-23
804,19.030993,1983-06-24
805,18.153673,1983-06-25
806,17.383862,1983-06-26
807,16.884773,1983-06-27
808,16.393864,1983-06-28
809,15.869747,1983-06-29
810,15.332033,1983-06-30
811,14.8018265,1983-07-01
812,14.435574,1983-07-02
813,14.024573,1983-07-03
814,13.499133,1983-07-04
815,13.095026,1983-07-05
816,12.703519,1983-07-06
817,12.364987,1983-07-07
818,12.124745,1983-07-08
819,11.834692,1983-07-09
820,11.58189,1983-07-10
821,11.350781,1983-07-11
822,11.1618,1983-07-12
823,10.95769,1983-07-13
824,10.868964,1983-07-14
825,10.724519,1983-07-15
826,10.667759,1983-07-16
827,10.694981,1983-07-17
828,10.7560425,1983-07-18
829,10.833803,1983-07-19
830,10.838771,1983-07-20
831,10.836547,1983-07-21
832,10.81433,1983-07-22
833,10.854238,1983-07-23
834,10.927989,1983-07-24
835,11.005798,1983-07-25
836,11.06032,1983-07-26
837,11.106433,1983-07-27
838,11.128349,1983-07-28
839,11.136999,1983-07-29
840,11.123816,1983-07-30
841,11.161313,1983-07-31
842,11.422231,1983-08-01
843,11.564372,1983-08-02
844,11.532727,1983-08-03
845,11.397381,1983-08-04
846,11.522787,1983-08-05
847,11.941436,1983-08-06
848,11.930913,1983-08-07
849,11.715186,1983-08-08
850,12.11324,1983-08-09
851,12.154039,1983-08-10
852,12.352381,1983-08-11
853,12.135479,1983-08-12
854,11.970049,1983-08-13
855,11.845609,1983-08-14
856,11.846643,1983-08-15
857,11.929328,1983-08-16
858,11.921692,1983-08-17
859,11.800941,1983-08-18
860,12.023813,1983-08-19
861,12.265785,1983-08-20
862,12.498958,1983-08-21
863,12.27896,1983-08-22
864,12.511431,1983-08-23
865,12.57513,1983-08-24
866,12.699009,1983-08-25
867,12.343871,1983-08-26
868,12.157963,1983-08-27
869,12.391849,1983-08-28
870,12.578962,1983-08-29
871,12.488914,1983-08-30
872,12.465049,1983-08-31
873,12.704583,1983-09-01
874,12.314775,1983-09-02
875,12.459349,1983-09-03
876,12.066063,1983-09-04
877,11.633539,1983-09-05
878,11.270486,1983-09-06
879,10.730633,1983-09-07
880,10.198602,1983-09-08
881,9.953412,1983-09-09
882,9.894206,1983-09-10
883,9.823392,1983-09-11
884,9.766398,1983-09-12
885,9.370829,1983-09-13
886,9.25153,1983-09-14
887,9.492221,1983-09-15
888,9.620824,1983-09-16
889,9.68478,1983-09-17
890,9.522695,1983-09-18
891,9.45987,1983-09-19
892,9.549926,1983-09-20
893,9.671367,1983-09-21
894,9.658468,1983-09-22
895,9.647249,1983-09-23
896,9.697108,1983-09-24
897,9.840293,1983-09-25
898,10.030433,1983-09-26
899,10.081735,1983-09-27
900,10.116096,1983-09-28
901,10.180439,1983-09-29
902,10.334619,1983-09-30
903,10.488975,1983-10-01
904,10.746598,1983-10-02
905,10.957196,1983-10-03
906,11.156231,1983-10-04
907,11.270648,1983-10-05
908,11.510014,1983-10-06
909,11.617904,1983-10-07
910,11.764947,1983-10-08
911,12.2791815,1983-10-09
912,12.4569435,1983-10-10
913,12.984098,1983-10-11
914,13.079801,1983-10-12
915,13.230571,1983-10-13
916,13.666147,1983-10-14
917,14.057495,1983-10-15
918,14.790203,1983-10-16
919,14.9896145,1983-10-17
920,15.169094,1983-10-18
921,15.364195,1983-10-19
922,15.698134,1983-10-20
923,16.389086,1983-10-21
924,17.306307,1983-10-22
925,17.52209,1983-10-23
926,17.780052,1983-10-24
927,18.160275,1983-10-25
928,18.440268,1983-10-26
929,18.74902,1983-10-27
930,19.122887,1983-10-28
931,19.876463,1983-10-29
932,20.986332,1983-10-30
933,21.647242,1983-10-31
934,22.238695,1983-11-01
935,22.776575,1983-11-02
936,23.5298,1983-11-03
937,24.261303,1983-11-04
938,25.117659,1983-11-05
939,26.075783,1983-11-06
940,27.036806,1983-11-07
941,27.80636,1983-11-08
942,28.587511,1983-11-09
943,29.375158,1983-11-10
944,30.289804,1983-11-11
945,31.217857,1983-11-12
946,32.040157,1983-11-13
947,33.798187,1983-11-14
948,34.510788,1983-11-15
949,34.896748,1983-11-16
950,35.35897,1983-11-17
951,36.226536,1983-11-18
952,36.950665,1983-11-19
953,37.50687,1983-11-20
954,38.23304,1983-11-21
955,38.773407,1983-11-22
956,39.232616,1983-11-23
957,39.630764,1983-11-24
958,40.116085,1983-11-25
959,41.63788,1983-11-26
960,45.43474,1983-11-27
961,45.7711,1983-11-28
962,45.613132,1983-11-29
963,45.315308,1983-11-30
964,46.741848,1983-12-01
965,48.363514,1983-12-02
966,48.431053,1983-12-03
967,48.28594,1983-12-04
968,48.576084,1983-12-05
969,48.824455,1983-12-06
970,49.130367,1983-12-07
971,49.449047,1983-12-08
972,50.33652,1983-12-09
973,51.253193,1983-12-10
974,53.448803,1983-12-11
975,55.083088,1983-12-12
976,54.99151,1983-12-13
977,56.613018,1983-12-14
978,57.817493,1983-12-15
979,58.90786,1983-12-16
980,58.83583,1983-12-17
981,60.26847,1983-12-18
982,60.46382,1983-12-19
983,61.877644,1983-12-20
984,62.878258,1983-12-21
985,63.70307,1983-12-22
986,64.55,1983-12-23
987,65.278885,1983-12-24
988,65.76461,1983-12-25
989,66.32812,1983-12-26
990,66.960335,1983-12-27
991,67.39269,1983-12-28
992,67.77817,1983-12-29
993,68.1923,1983-12-30
994,68.53996,1983-12-31
