,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Season,PLoad
8211,15106096034204.346,0.0,0.0,85894422082.1691,424912220017.5499,386638.5114370169,3136526991795061.5,4923897.839973259,151960604.36765158,75417558000.38829,5.021921612696135e+16,13758693159.641432,19789247311827.97,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-26,summer,88440846233.41112
8212,14537617688831.973,0.0,0.0,86495855480.04274,481988851261.2094,6361368.878160165,3136702067939313.5,4924151.319930182,150728059.15906322,88440846233.41112,5.02192022224681e+16,13758689349.852425,19863225806451.61,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-27,summer,90699102599.13396
8213,13975276317291.594,0.0,0.0,86658125136.94081,475694462321.8872,11215918.448262399,3136879558541176.0,4924426.178533046,149514471.1436129,90699102599.13396,5.0219188319192504e+16,13758685540.402218,19820545905707.18,4853440942928042.0,1109677419354.8386,84890322580645.16,2003-06-28,summer,76496720223.26813
8214,13500521952851.553,0.0,0.0,89067525826.59367,385687071131.1565,232517.7094078213,3137045268097496.0,4924704.827683435,150467492.56729797,76496720223.26813,5.021917441496798e+16,13758681731.28562,19777866004962.805,4889356079404467.0,1109677419354.8386,84890322580645.16,2003-06-29,summer,63760251797.60122
8215,13107003013355.633,0.0,0.0,82986503584.14447,310550651686.89026,18215775.115664802,3137192143145723.0,4925022.605208485,151433643.03480142,63760251797.60122,5.021916050978145e+16,13758677921.909039,19683970223325.016,4913027419354839.0,1109677419354.8386,84890322580645.16,2003-06-30,summer,69883264786.87701
8216,12692547496069.705,0.0,0.0,84217860861.04152,330452047708.21423,214391283.32737336,3137346177574230.0,4925253.192551299,152619395.3998335,69883264786.87701,5.02191466034132e+16,13758674112.26889,19513250620347.41,4913027419354839.0,1109677419354.8386,84890322580645.16,2003-07-01,summer,75323605989.25038
8217,12260941601474.498,0.0,0.0,86722408174.48695,344914746232.4465,31259811.725782696,3137508343432388.0,4877205.852944311,155981011.66447836,75323605989.25038,5.0219132693639096e+16,13758670302.304987,19342531017369.69,4944045037220842.0,1109677419354.8386,84890322580645.16,2003-07-02,summer,69400879480.07364
8218,11896013400293.22,0.0,0.0,58150144018.99382,306987477345.24304,209420182.95861277,3137635838070568.0,4877457.950171646,157912322.03143513,69400879480.07364,5.021911878193774e+16,13758666491.407972,19274243176178.69,4979960173697271.0,1109677419354.8386,84890322580645.16,2003-07-03,summer,62542634452.64156
8219,11570824629375.652,0.0,0.0,56943280121.89917,268416665994.69574,171175199.02472803,3137755306908067.0,4877656.148763818,158975779.59460822,62542634452.64156,5.021910486917694e+16,13758662679.982944,19231563275434.207,5015875310173696.0,1109677419354.8386,84890322580645.16,2003-07-04,summer,57832813300.11702
8220,11276868462178.674,0.0,0.0,52541390872.75844,241418469694.68503,3693370.4645156553,3137865834751627.5,4877841.87073408,162210599.82262456,57832813300.11702,5.021909095318531e+16,13758658868.267656,19188883374689.84,5073829280397024.0,1109677419354.8386,84890322580645.16,2003-07-05,summer,48354666804.36512
8221,11041792014522.59,0.0,0.0,38407630564.436745,196724645706.34464,55828614.69687669,3137952701312358.0,4878070.7678884445,164970047.1436125,48354666804.36512,5.021907703443828e+16,13758655055.66721,19103523573200.973,5145659553349874.0,1109677419354.8386,84890322580645.16,2003-07-06,summer,35663115137.46868
8222,10856206657949.264,0.0,0.0,43577015130.03235,142066179107.56192,57837664.26972616,3138032044857790.0,4878205.809108472,166131034.7582896,35663115137.46868,5.0219063114534216e+16,13758651242.31186,18932803970223.367,5217489826302732.0,1109677419354.8386,84890322580645.16,2003-07-07,summer,46629566520.224014
8223,10627767696973.322,0.0,0.0,45820204090.192856,182629673286.21744,10916400.468281474,3138124647792082.5,4878329.155181878,168958411.76111528,46629566520.224014,5.02190491918067e+16,13758647428.639511,18838908188585.57,5289320099255582.0,1109677419354.8386,84890322580645.16,2003-07-08,summer,58423925039.41161
8224,10355333345057.799,0.0,0.0,48469470857.44393,224008576102.0759,43695043.996432826,3138231665655219.0,4926774.828067523,173089058.46873036,58423925039.41161,5.021903526500081e+16,13758643614.193617,18796228287841.203,5361150372208437.0,1109677419354.8386,84890322580645.16,2003-07-09,summer,62046670706.2499
8225,10072383543774.387,0.0,0.0,51212079023.37705,231800532288.23303,62810028.19735755,3138345034093607.5,4926942.843354814,177425629.93162975,62046670706.2499,5.021902133386232e+16,13758639798.630358,18753548387096.77,5432980645161290.0,1109677419354.8386,84890322580645.16,2003-07-10,summer,58433142192.11226
